province,time_spent
云南省,25.5
内蒙古自治区,10.785714285714286
北京市,21.333333333333332
吉林省,24.12
四川省,14.660377358490566
天津市,20.3125
宁夏回族自治区,44.666666666666664
安徽省,18.705882352941178
山东省,13.804878048780488
山西省,28.34090909090909
广东省,29.428571428571427
广西壮族自治区,70.71428571428571
新疆维吾尔自治区,1.0
江苏省,19.125
河北省,16.481203007518797
河南省,14.416666666666666
浙江省,9.0
海南省,21.0
湖北省,32.90909090909091
湖南省,21.5
甘肃省,18.59090909090909
福建省,27.0
贵州省,33.0
辽宁省,33.69375
重庆市,26.0
陕西省,17.379310344827587
青海省,7.0
黑龙江省,11.408163265306122
